id,external_profile_id,candidate_type,subject_name,object_name,structured_value,source_url,source_locator,evidence_level,status,confidence_score,imported_at,source_name,source_attribution
fact-candidate-2fc6cbfebbd3,external-profile-6ad42d1912b9,person_discovery,Aarae Alexander,,"{""external_name"": ""Aarae Alexander"", ""original_row"": 2}",https://www.bjjheroes.com/?p=8141,profile metadata,specialized_source,pending_review,0.86,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8141"", ""use"": ""Specialized discovery source""}"
fact-candidate-7250ff203274,external-profile-6ad42d1912b9,team_affiliation_observation,Aarae Alexander,Team Lloyd Irvin,"{""original_row"": 2, ""team_text"": ""Team Lloyd Irvin""}",https://www.bjjheroes.com/?p=8141,listed team field,specialized_source,pending_review,0.72,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8141"", ""use"": ""Specialized discovery source""}"
fact-candidate-6b0fcb2cd12e,external-profile-6ad42d1912b9,possible_team_affiliation,Aarae Alexander,Team Lloyd Irvin,"{""original_row"": 2, ""team_text"": ""Team Lloyd Irvin""}",https://www.bjjheroes.com/?p=8141,listed team field,specialized_source,pending_review,0.52,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8141"", ""use"": ""Specialized discovery source""}"
fact-candidate-59b58af5cbba,external-profile-6ad42d1912b9,possible_black_belt_under,Aarae Alexander,Lloyd Irvin,"{""original_row"": 2, ""teacher_text"": ""Lloyd Irvin""}",https://www.bjjheroes.com/?p=8141,introductory paragraph,specialized_source,pending_review,0.62,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8141"", ""use"": ""Specialized discovery source""}"
fact-candidate-29d1070f7909,external-profile-f42cf01e653d,person_discovery,Aaron Johnson,,"{""external_name"": ""Aaron Johnson"", ""original_row"": 3}",https://www.bjjheroes.com/?p=9246,profile metadata,specialized_source,pending_review,0.86,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=9246"", ""use"": ""Specialized discovery source""}"
fact-candidate-392af82f1ddb,external-profile-f42cf01e653d,nickname_discovery,Aaron Johnson,Tex,"{""nickname"": ""Tex"", ""original_row"": 3}",https://www.bjjheroes.com/?p=9246,profile metadata,specialized_source,pending_review,0.78,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=9246"", ""use"": ""Specialized discovery source""}"
fact-candidate-e698825c3f06,external-profile-f42cf01e653d,team_affiliation_observation,Aaron Johnson,Unity JJ,"{""original_row"": 3, ""team_text"": ""Unity JJ""}",https://www.bjjheroes.com/?p=9246,listed team field,specialized_source,pending_review,0.72,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=9246"", ""use"": ""Specialized discovery source""}"
fact-candidate-8bad2c28a3d9,external-profile-f42cf01e653d,possible_team_affiliation,Aaron Johnson,Unity JJ,"{""original_row"": 3, ""team_text"": ""Unity JJ""}",https://www.bjjheroes.com/?p=9246,listed team field,specialized_source,pending_review,0.52,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=9246"", ""use"": ""Specialized discovery source""}"
fact-candidate-6898610e857c,external-profile-f42cf01e653d,possible_black_belt_under,Aaron Johnson,Philip Smith andMurilo Santana,"{""original_row"": 3, ""teacher_text"": ""Philip Smith andMurilo Santana""}",https://www.bjjheroes.com/?p=9246,introductory paragraph,specialized_source,pending_review,0.62,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=9246"", ""use"": ""Specialized discovery source""}"
fact-candidate-e8c227774004,external-profile-7bc8186d8294,person_discovery,Abdurakhman Bilarov,,"{""external_name"": ""Abdurakhman Bilarov"", ""original_row"": 4}",https://www.bjjheroes.com/?p=8494,profile metadata,specialized_source,pending_review,0.86,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8494"", ""use"": ""Specialized discovery source""}"
fact-candidate-1e06b69ffc8e,external-profile-7bc8186d8294,team_affiliation_observation,Abdurakhman Bilarov,Team Nogueira,"{""original_row"": 4, ""team_text"": ""Team Nogueira""}",https://www.bjjheroes.com/?p=8494,listed team field,specialized_source,pending_review,0.72,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8494"", ""use"": ""Specialized discovery source""}"
fact-candidate-ccd8c11cc79b,external-profile-7bc8186d8294,possible_team_affiliation,Abdurakhman Bilarov,Team Nogueira,"{""original_row"": 4, ""team_text"": ""Team Nogueira""}",https://www.bjjheroes.com/?p=8494,listed team field,specialized_source,pending_review,0.52,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8494"", ""use"": ""Specialized discovery source""}"
fact-candidate-38bd8c69e1de,external-profile-7bc8186d8294,possible_black_belt_under,Abdurakhman Bilarov,Rafael Haubert,"{""original_row"": 4, ""teacher_text"": ""Rafael Haubert""}",https://www.bjjheroes.com/?p=8494,introductory paragraph,specialized_source,pending_review,0.62,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=8494"", ""use"": ""Specialized discovery source""}"
fact-candidate-98bc2367521e,external-profile-f2e2716ae675,person_discovery,Abmar Barbosa,,"{""external_name"": ""Abmar Barbosa"", ""original_row"": 5}",https://www.bjjheroes.com/?p=390,profile metadata,specialized_source,pending_review,0.86,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=390"", ""use"": ""Specialized discovery source""}"
fact-candidate-332be990d206,external-profile-f2e2716ae675,possible_black_belt_under,Abmar Barbosa,Robert Drysdalewho holds an extensive list of competitive grappling achievements,"{""original_row"": 5, ""teacher_text"": ""Robert Drysdalewho holds an extensive list of competitive grappling achievements""}",https://www.bjjheroes.com/?p=390,introductory paragraph,specialized_source,pending_review,0.62,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=390"", ""use"": ""Specialized discovery source""}"
fact-candidate-02dad4369ebf,external-profile-f34ecf2fd2c6,person_discovery,Abraham Marte,,"{""external_name"": ""Abraham Marte"", ""original_row"": 6}",https://www.bjjheroes.com/?p=3083,profile metadata,specialized_source,pending_review,0.86,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=3083"", ""use"": ""Specialized discovery source""}"
fact-candidate-2688391083be,external-profile-f34ecf2fd2c6,team_affiliation_observation,Abraham Marte,Yamasaki / Basico,"{""original_row"": 6, ""team_text"": ""Yamasaki / Basico""}",https://www.bjjheroes.com/?p=3083,listed team field,specialized_source,pending_review,0.72,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=3083"", ""use"": ""Specialized discovery source""}"
fact-candidate-2281b67cb2f1,external-profile-f34ecf2fd2c6,possible_team_affiliation,Abraham Marte,Yamasaki / Basico,"{""original_row"": 6, ""team_text"": ""Yamasaki / Basico""}",https://www.bjjheroes.com/?p=3083,listed team field,specialized_source,pending_review,0.52,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=3083"", ""use"": ""Specialized discovery source""}"
fact-candidate-b5daae599e0e,external-profile-f34ecf2fd2c6,possible_black_belt_under,Abraham Marte,Abraham Tabar from team Basico BJJ of the Dominican Republic,"{""original_row"": 6, ""teacher_text"": ""Abraham Tabar from team Basico BJJ of the Dominican Republic""}",https://www.bjjheroes.com/?p=3083,introductory paragraph,specialized_source,pending_review,0.62,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=3083"", ""use"": ""Specialized discovery source""}"
fact-candidate-c664efbd43f3,external-profile-f100ec26f5f9,person_discovery,Achilles Rocha,,"{""external_name"": ""Achilles Rocha"", ""original_row"": 7}",https://www.bjjheroes.com/?p=14157,profile metadata,specialized_source,pending_review,0.86,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=14157"", ""use"": ""Specialized discovery source""}"
fact-candidate-fca54174e9a6,external-profile-f100ec26f5f9,team_affiliation_observation,Achilles Rocha,VRMA,"{""original_row"": 7, ""team_text"": ""VRMA""}",https://www.bjjheroes.com/?p=14157,listed team field,specialized_source,pending_review,0.72,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=14157"", ""use"": ""Specialized discovery source""}"
fact-candidate-b04b52640677,external-profile-f100ec26f5f9,possible_team_affiliation,Achilles Rocha,VRMA,"{""original_row"": 7, ""team_text"": ""VRMA""}",https://www.bjjheroes.com/?p=14157,listed team field,specialized_source,pending_review,0.52,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=14157"", ""use"": ""Specialized discovery source""}"
fact-candidate-638ba8190cb1,external-profile-f100ec26f5f9,possible_black_belt_under,Achilles Rocha,ADCC medalistVagner Rocha(his father),"{""original_row"": 7, ""teacher_text"": ""ADCC medalistVagner Rocha(his father)""}",https://www.bjjheroes.com/?p=14157,introductory paragraph,specialized_source,pending_review,0.62,2026-07-21T14:24:14.974993+00:00,BJJ Heroes,"{""editorial_status"": ""Requires review before lineage publication"", ""source"": ""BJJ Heroes"", ""source_url"": ""https://www.bjjheroes.com/?p=14157"", ""use"": ""Specialized discovery source""}"
