name,teacher_name,academy,location,source_url,source_type,source_scope,confidence,editorial_disposition,editorial_notes
Helder Medeiros,Demian Maia,,,https://www.bjjheroes.com/?p=11228,specialized_source,Profile describes a black-belt relationship involving Demian Maia and other instructors,high,already_in_database,Existing confirmed relationship bjj-11228-112; do not duplicate.
Marcelo Mafra,Demian Maia,,,https://www.bjjheroes.com/?p=9706,specialized_source,Profile describes a black-belt relationship with Demian Maia,high,already_in_database,Existing confirmed relationship bjj-9706-112; do not duplicate.
Outi Jarvilehto,Demian Maia,Brasa Clube de Jiu Jitsu,Finland,https://www.bjjheroes.com/?p=7218,specialized_source,Profile describes a black-belt relationship with Demian Maia,high,already_in_database,Existing confirmed relationship bjj-7218-112; do not duplicate.
Márcia Sousa da Silva,Demian Maia,Escola Demian Maia,"São Paulo, BR",https://www.escolademianmaia.com.br/nossosprofessores,official_academy_page,Staff page lists the person as a black belt and uses a general team-training statement,medium,needs_direct_evidence,The page does not individually state who awarded the black belt.
Lucas Costa Barros,Demian Maia,Escola Demian Maia,"São Paulo, BR",https://www.escolademianmaia.com.br/nossosprofessores,official_academy_page,Staff page lists the person as a black belt and uses a general team-training statement,medium,needs_direct_evidence,The page does not individually state who awarded the black belt.
Danilo Pacheco,Demian Maia,Escola Demian Maia,"São Paulo, BR",https://www.escolademianmaia.com.br/nossosprofessores,official_academy_page,Staff page lists the person as a black belt and uses a general team-training statement,medium,needs_direct_evidence,The page does not individually state who awarded the black belt.
Hevanny Isaac,Demian Maia,Escola Demian Maia,"São Paulo, BR",https://www.escolademianmaia.com.br/nossosprofessores,official_academy_page,Staff page lists the person as a black belt and uses a general team-training statement,medium,needs_direct_evidence,The page does not individually state who awarded the black belt.
Marcos Jordão,Demian Maia,AlphaTeam Demian Maia Alphaville,"Barueri, SP, BR",https://www.facebook.com/AlphaTeamDemianMaiaAlphaville/,public_social_profile,Page identifies Marcos Jordão as a black belt,low,needs_direct_evidence,Academy affiliation is not proof that Demian Maia awarded the black belt.
Mark Turner,Demian Maia,BJJ Lab Naperville,"Naperville, IL, USA",https://www.demianmaia.com/mark-turner,official_demian_maia_profile,Official profile explicitly identifies Mark Turner as a black belt of Demian Maia,high,ready_for_claim_review,Eligible for human review as a direct black-belt relationship.
Mark Flynn,Demian Maia,ZenQuest Martial Arts Center,"Lenox, MA, USA",https://www.demianmaia.com/zenquest,official_demian_maia_profile,Official profile identifies a black belt in the Demian Maia Jiu-Jitsu system,medium,needs_direct_evidence,System affiliation does not explicitly identify who awarded the black belt.
Daniel Amado Perez,Demian Maia,Daniel Perez Jiu-Jitsu,"Miami, FL, USA",https://www.demianmaia.com/daniel-perez-jiu-jitsu,official_demian_maia_profile,Official profile explicitly states that Daniel received his black belt from Demian Maia,high,ready_for_claim_review,Eligible for human review as a direct black-belt award.
Jesse Garcia,Demian Maia,Napa Valley Brazilian Jiu Jitsu,"Napa, CA, USA",https://www.demianmaia.com/napa,official_demian_maia_profile,Official profile states that Jesse attained black-belt rank,medium,needs_direct_evidence,The profile does not identify who awarded the black belt.
Nathan Drona,Demian Maia,Villains Jiu Jitsu,"Los Angeles, CA, USA",https://www.demianmaia.com/villains,official_demian_maia_profile,Official profile explicitly identifies Nathan as a black belt under Demian Maia,high,ready_for_claim_review,Eligible for human review as a direct black-belt relationship.
Vitalino Silva,Demian Maia,Demian Maia Jiu-Jitsu Portugal,"Santa Maria da Feira, PT",https://www.demianmaia.com/demian-maia-jiu-jitsu-portugal,official_demian_maia_profile,Official profile gives the lineage and states that Demian Maia awarded the black belt in 2018,high,ready_for_claim_review,Eligible for human review as a direct black-belt award with a promotion year.
Vladislavs Cernavskis,Demian Maia,VladJitsu Academy,"Riga, LV",https://www.demianmaia.com/vladjitsu-academy,official_demian_maia_profile,Official profile lists Vladislavs as a black belt,medium,needs_direct_evidence,The profile does not state that the black belt was awarded by or held under Demian Maia.
