organization_id,name,organization_type,status,created_on
O-56F8E1A921,Soldiers Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-0BC22BC2AA,AOJ,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-19491EAB73,GF Team France,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-33F89A7E99,Lotus Club,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-73C4CF05AE,ZR Team Pernambuco,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-4E21479BBC,Alliance Los Angeles,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-8C4233D2A9,Elementum Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-825A03A5F5,CheckMat,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-1C8DB34433,Team 6 BJJ,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-3353E5EFA8,Inevat Brazilian Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-87945BFA08,Alliance SP,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-7CEDBDB2CA,Marcio Andre Jiu-Jitsu Brasil,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-4C7396A559,CheckMat International,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-61D3E41D95,CheckMat USA,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-FA006FCCC5,Atos Jiu Jitsu USA,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-9B9BE0381F,Alliance Porto Alegre,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-8430F11A12,Marcio Andre Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-2F6AA96F30,Brea Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-20A6B79664,Toronto BJJ,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-D0F7DD1245,Carreira Team International Uk,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-90C74DC12F,Six Blades Jiu-Jitsu Fort Worth - Team Marra,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-E342FD4ABA,Alliance JJ,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-26B4878125,Renzo Gracie Orlando,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-480EB0413F,Rodrigo Pinheiro BJJ,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-85B44DC992,Action & Reaction MMA Toronto,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-880F60FD9B,GFTeam / Orlando Jr,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-C89C1D7CDD,Six Blades Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-75A4FD90CA,Six Blades Jiu-Jitsu - Brasil,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-AA7D3EA9BD,Alliance San Diego,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-66831601F4,Campeão United Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-9A319FE4C5,Outer Heaven,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-23BFC4967C,Gregor Gracie Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-874C6E1C86,Infight Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-146207EFC3,Alliance USA,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-2DA4152664,DreamArt,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-76C2AE08F5,JFC Almeida JJ,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-848B855971,UAE Jiu-Jitsu Team,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-647474823F,Fratres Brazilian Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-42494A9687,Atos JJ International,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-DD30C750AE,Pax Jiu-Jitsu Academy,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-6EB4A5D648,Gracie Humaita South Bay,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-213FE8749A,AGR Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-DEF073BE46,Alliance Inland Empire,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-29BF4F0705,Fight Sports,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-6DB95B8CF1,CheckMat/Equipe 1,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-3D27778EE1,Double Five Highland Village,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-0258152AD9,Gracie Barra Alabama,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-B6BE083DDC,Lebre Jiu-Jitsu Academy,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-EBC89E66A5,Mekka Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-F007C3F738,Aspire To Inspire,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-126DBFD8F3,Hilti BJJ Berlin,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-292A41D4F3,Team Forsa,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-3792D4239D,B.F.T Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-3BAB7DCF3A,Barreto Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-D5BD02D597,Bruno Bastos BJJ Midland,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-913A200D60,Tony Passos Jiu-Jitsu,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-895A621498,Alliance Greenville,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-D617C21F0F,Midland 092 Jiu-Jitsu Academy,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-BF434FF89C,Gracie Barra Centro São Gonçalo,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-78671F3BD6,GFTeam Redentor,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-C8F5F8B970,Roger Gracie Academy,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-5F6F177EE8,GF Team,equipe/academia reportada,observada em ranking oficial,2026-07-05
O-D5DD37B38B,GFTeam Charlotte,equipe/academia reportada,observada em ranking oficial,2026-07-05
