affiliation_id,person_id,organization_id,relation_type,source_observation_id,start_date,end_date,status,notes
AFF-36700ABC8ED9,P-B93A743901,O-56F8E1A921,equipe reportada em ranking,OBS-12030F2249A4,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-1259F6BEAB2E,P-17BDF93936,O-0BC22BC2AA,equipe reportada em ranking,OBS-B05C22685311,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-4714C5341F4E,P-B81C66D956,O-0BC22BC2AA,equipe reportada em ranking,OBS-A8BBE847A959,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-B9F59C26CAC3,P-38CD5C6ADB,O-0BC22BC2AA,equipe reportada em ranking,OBS-B4A7A8629737,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-8709521D2D7C,P-D617EB4611,O-56F8E1A921,equipe reportada em ranking,OBS-360F6FBA9387,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EF52FF4E0F4C,P-081E954739,O-19491EAB73,equipe reportada em ranking,OBS-9F5BEE711B3C,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-E8F216D41E16,P-45B6504F3A,O-33F89A7E99,equipe reportada em ranking,OBS-945304932F24,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-8B9C00E748D3,P-AB8F548777,O-73C4CF05AE,equipe reportada em ranking,OBS-564E88DB69B6,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-1F0A30F3A54C,P-6E4FFCE11C,O-4E21479BBC,equipe reportada em ranking,OBS-2DC25559683F,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-BB611BB62ECA,P-8479E4C232,O-8C4233D2A9,equipe reportada em ranking,OBS-D52926C9D0E6,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-0FFED1A27944,P-B0C690D854,O-0BC22BC2AA,equipe reportada em ranking,OBS-787CE4A830E5,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-CEE2C6282004,P-77A1C6D466,O-825A03A5F5,equipe reportada em ranking,OBS-3BA1948467BD,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-313AE21CF170,P-F2911B21F3,O-1C8DB34433,equipe reportada em ranking,OBS-129B0E5A83F8,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-A5E903DC086D,P-76C0AB052E,O-3353E5EFA8,equipe reportada em ranking,OBS-F3D69C6777B3,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-10151D9BEE97,P-07E1749BE7,O-87945BFA08,equipe reportada em ranking,OBS-2672533D5BAA,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-3DBEC8B97C70,P-7C83A1EBE5,O-56F8E1A921,equipe reportada em ranking,OBS-A3F4C536E4AB,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-35FCDFE4D378,P-D20FF0F282,O-7CEDBDB2CA,equipe reportada em ranking,OBS-C02E4B22CF5E,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-5F3FCCE89247,P-3BB4AE1545,O-1C8DB34433,equipe reportada em ranking,OBS-2B4708001A9C,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-50E3D64A9190,P-EF572619D0,O-4C7396A559,equipe reportada em ranking,OBS-2EE9F6148EC3,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-746DA220B4C6,P-5E274D4B46,O-61D3E41D95,equipe reportada em ranking,OBS-0A99A9630CB6,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-3A8C6F8140BE,P-B82D12DC34,O-FA006FCCC5,equipe reportada em ranking,OBS-75F95ECAD1B5,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
