person_id,full_name,reported_gender,entity_status,lineage_status,created_from,created_on
P-B93A743901,Erich Munis dos Santos,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-17BDF93936,Tainan Dalpra Costa,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B81C66D956,Diego Oliveira Batista,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-38CD5C6ADB,Francisco Papasidero,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-D617EB4611,Vinicius Liberati,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-081E954739,Seif-Eddine Houmine,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-45B6504F3A,Alexandre Papa Manara,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-AB8F548777,Dayvison Lucas Miranda L. Calado,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-6E4FFCE11C,Michael Jalen B. Fonacier,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-8479E4C232,Enderson Dias de Almeida,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B0C690D854,Cole Anthony Abate,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-77A1C6D466,Jansen Gomes Ramos,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-F2911B21F3,Rider Zuchi Samelo do Amaral,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-76C0AB052E,Matheus Gabriel Pinheiro Barros,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-07E1749BE7,Marcus Vinicius Ribeiro de Siqueira,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-7C83A1EBE5,Gabriel de Sousa Ribeiro,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-D20FF0F282,Luiz Victor Gregoriano Pinto Maxnuk,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-3BB4AE1545,Luis Fernando de Oliveira,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-EF572619D0,Adam Piotr Wardzinski,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-5E274D4B46,Gutemberg de Jesus Santos Pereira,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B82D12DC34,Helder Jose Rodrigues Júnior,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-426893B1D5,Andy Tomas Murasaki Pereira,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-282F189BB0,Leonardo Silveira Ferreira,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-92B82F7D67,Tarcisio Damasceno Santos,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B00629D7E0,Nolan Patrick Braga Stuart,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-9AB1445D9B,Ethan Roy Major,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-D93B1468AD,Uanderson Ferreira de Oliveira,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B7A5D3B74B,João Gabriel Galvão da Silva,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-BD227BC8FF,Pablo Lavaselli,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-136B8222B5,Jackson Nagai Hatchwell Junior,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-3BD96FC61D,Gabriel Cardoso Amorim,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-F5CBF048BC,Meyram Maquiné Alves,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-257DFC4525,Samuel A. Nagai Hatchwell,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B21F0B2CD2,Kjetil Hope Lydvo,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-C063B72264,Luiz Felipe Assis dos Santos,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-32E964D2C4,Marcos Antonio Gomes Guedes,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
