task_id,person_id,person_name,priority,task_type,primary_search_path,minimum_evidence,current_status,created_on,source_observation_id
TASK-EBAB74C22A,P-B93A743901,Erich Munis dos Santos,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-12030F2249A4
TASK-BA2E657931,P-17BDF93936,Tainan Dalpra Costa,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-B05C22685311
TASK-9FAE528712,P-B81C66D956,Diego Oliveira Batista,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-A8BBE847A959
TASK-E45E3974A7,P-38CD5C6ADB,Francisco Papasidero,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-B4A7A8629737
TASK-9B1D547874,P-D617EB4611,Vinicius Liberati,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-360F6FBA9387
TASK-FF336764D8,P-081E954739,Seif-Eddine Houmine,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-9F5BEE711B3C
TASK-23009115D7,P-45B6504F3A,Alexandre Papa Manara,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-945304932F24
TASK-9B47394B7E,P-AB8F548777,Dayvison Lucas Miranda L. Calado,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-564E88DB69B6
TASK-58CC7574AF,P-6E4FFCE11C,Michael Jalen B. Fonacier,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-2DC25559683F
TASK-BB4A6F4039,P-8479E4C232,Enderson Dias de Almeida,P0,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-D52926C9D0E6
TASK-F3C523FE50,P-B0C690D854,Cole Anthony Abate,P1,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-787CE4A830E5
TASK-01569EBDF3,P-77A1C6D466,Jansen Gomes Ramos,P1,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-3BA1948467BD
TASK-68E4F939BA,P-F2911B21F3,Rider Zuchi Samelo do Amaral,P1,identificar quem concedeu a faixa-preta,site oficial do atleta/equipe → entrevista → anúncio de graduação → professor declaradamente citado,1 fonte primária explícita ou 2 fontes independentes de alta qualidade; sem inferir pela equipe,pendente,2026-07-05,OBS-129B0E5A83F8
