source_id,source_name,entity,source_type,url,what_it_proves,access_mode,priority,status,captured_on,notes
SRC-IBJJF-ADULT-BLACK-GI-M-P1,"IBJJF ranking — Adult Black Gi Male, página 1",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-M-P2,"IBJJF ranking — Adult Black Gi Male, página 2",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-M-P3,"IBJJF ranking — Adult Black Gi Male, página 3",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-M-P4,"IBJJF ranking — Adult Black Gi Male, página 4",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-06-17.
SRC-IBJJF-ADULT-BLACK-GI-M-P5,"IBJJF ranking — Adult Black Gi Male, página 5",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-M-P6,"IBJJF ranking — Adult Black Gi Male, página 6",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=6,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-06-17.
SRC-IBJJF-ADULT-BLACK-GI-F-P1,"IBJJF ranking — Adult Black Gi Female, página 1",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-F-P2,"IBJJF ranking — Adult Black Gi Female, página 2",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi&page=2,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-06-22.
SRC-IBJJF-ADULT-BLACK-GI-F-P3,"IBJJF ranking — Adult Black Gi Female, página 3",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi&page=3,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-F-P4,"IBJJF ranking — Adult Black Gi Female, página 4",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi&page=4,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
