affiliation_id,person_id,organization_id,relation_type,source_observation_id,start_date,end_date,status,notes,original_sheet,original_row
AFF-V06-P0120-1,P0120,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,2
AFF-V06-P0406-2,P0406,O-V06-GRACIE-HUMAITA,reported historical affiliation,,,,research material,Reported text: Gracie Humaitá. Not proof of black belt promotion.,Pessoas,3
AFF-V06-P0127-3,P0127,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,4
AFF-V06-P0401-4,P0401,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,5
AFF-V06-P0317-5,P0317,O-V06-ATOS-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Atos Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,7
AFF-V06-P0021-6,P0021,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,8
AFF-V06-P0362-7,P0362,O-V06-BRAZILIAN-TOP-TEAM,reported historical affiliation,,,,research material,Reported text: Brazilian Top Team. Not proof of black belt promotion.,Pessoas,9
AFF-V06-P0213-8,P0213,O-V06-RIBEIRO-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Ribeiro Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,10
AFF-V06-P0076-9,P0076,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,11
AFF-V06-P0010-10,P0010,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance. Not proof of black belt promotion.,Pessoas,12
AFF-V06-P0358-11,P0358,O-V06-BRAZILIAN-TOP-TEAM,reported historical affiliation,,,,research material,Reported text: Brazilian Top Team. Not proof of black belt promotion.,Pessoas,13
AFF-V06-P0396-12,P0396,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,14
AFF-V06-P0109-13,P0109,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,15
AFF-V06-P0353-14,P0353,O-V06-RENZO-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Renzo Gracie Academy. Not proof of black belt promotion.,Pessoas,16
AFF-V06-P0422-15,P0422,O-V06-10TH-PLANET-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: 10th Planet Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,17
AFF-V06-P0331-16,P0331,O-V06-GFTEAM,reported historical affiliation,,,,research material,Reported text: GFTeam. Not proof of black belt promotion.,Pessoas,18
AFF-V06-P0022-17,P0022,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,19
AFF-V06-P0069-18,P0069,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,20
AFF-V06-P0283-19,P0283,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance. Not proof of black belt promotion.,Pessoas,21
AFF-V06-P0298-20,P0298,O-V06-10TH-PLANET-GRANTS-PASS,reported historical affiliation,,,,research material,Reported text: 10th Planet Grants Pass. Not proof of black belt promotion.,Pessoas,22
AFF-V06-P0261-21,P0261,O-V06-ATOS,reported historical affiliation,,,,research material,Reported text: Atos. Not proof of black belt promotion.,Pessoas,23
AFF-V06-P0158-22,P0158,O-V06-ATOS,reported historical affiliation,,,,research material,Reported text: Atos. Not proof of black belt promotion.,Pessoas,24
AFF-V06-P0409-23,P0409,O-V06-NOVA-UNIAO,reported historical affiliation,,,,research material,Reported text: Nova União. Not proof of black belt promotion.,Pessoas,25
AFF-V06-P0269-24,P0269,O-V06-NOVA-UNIAO,reported historical affiliation,,,,research material,Reported text: Nova União. Not proof of black belt promotion.,Pessoas,26
AFF-V06-P0142-25,P0142,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,27
AFF-V06-P0411-26,P0411,O-V06-NOVA-UNIAO,reported historical affiliation,,,,research material,Reported text: Nova União. Not proof of black belt promotion.,Pessoas,28
AFF-V06-P0138-27,P0138,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,30
AFF-V06-P0038-28,P0038,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,31
AFF-V06-P0203-29,P0203,O-V06-FIGHTZONE,reported historical affiliation,,,,research material,Reported text: Fightzone / Checkmat. Not proof of black belt promotion.,Pessoas,32
AFF-V06-P0259-30,P0259,O-V06-ATOS,reported historical affiliation,,,,research material,Reported text: Atos. Not proof of black belt promotion.,Pessoas,33
AFF-V06-P0302-31,P0302,O-V06-NOVA-UNIAO,reported historical affiliation,,,,research material,Reported text: Nova União / BJ Penn Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,34
AFF-V06-P0376-32,P0376,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,35
AFF-V06-P0224-33,P0224,O-V06-BTT,reported historical affiliation,,,,research material,Reported text: BTT / Alliance. Not proof of black belt promotion.,Pessoas,36
AFF-V06-P0413-34,P0413,O-V06-NOVA-UNIAO,reported historical affiliation,,,,research material,Reported text: Nova União. Not proof of black belt promotion.,Pessoas,37
AFF-V06-P0037-35,P0037,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,38
AFF-V06-P0189-36,P0189,O-V06-GRACIE-HUMAITA,reported historical affiliation,,,,research material,Reported text: Gracie Humaitá. Not proof of black belt promotion.,Pessoas,39
AFF-V06-P0294-37,P0294,O-V06-10TH-PLANET-HUNTSVILLE,reported historical affiliation,,,,research material,Reported text: 10th Planet Huntsville. Not proof of black belt promotion.,Pessoas,40
AFF-V06-P0267-38,P0267,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra / Estima. Not proof of black belt promotion.,Pessoas,41
AFF-V06-P0145-39,P0145,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,42
AFF-V06-P0426-40,P0426,O-V06-RENZO-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Renzo Gracie Academy. Not proof of black belt promotion.,Pessoas,43
AFF-V06-P0290-41,P0290,O-V06-ATOS,reported historical affiliation,,,,research material,Reported text: Atos. Not proof of black belt promotion.,Pessoas,45
AFF-V06-P0132-42,P0132,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,46
AFF-V06-P0249-43,P0249,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance. Not proof of black belt promotion.,Pessoas,47
AFF-V06-P0400-44,P0400,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,48
AFF-V06-P0169-45,P0169,O-V06-NS-BROTHERHOOD,reported historical affiliation,,,,research material,Reported text: NS Brotherhood. Not proof of black belt promotion.,Pessoas,49
AFF-V06-P0135-46,P0135,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,50
AFF-V06-P0101-47,P0101,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,51
AFF-V06-P0202-48,P0202,O-V06-CAIO-TERRA-ACADEMY,reported historical affiliation,,,,research material,Reported text: Caio Terra Academy. Not proof of black belt promotion.,Pessoas,52
AFF-V06-P0182-49,P0182,O-V06-FP-TEAM,reported historical affiliation,,,,research material,Reported text: FP Team. Not proof of black belt promotion.,Pessoas,53
AFF-V06-P0003-50,P0003,O-V06-GRACIE,reported historical affiliation,,,,research material,Reported text: Gracie. Not proof of black belt promotion.,Pessoas,54
AFF-V06-P0216-51,P0216,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra / IBJJF. Not proof of black belt promotion.,Pessoas,55
AFF-V06-P0415-52,P0415,O-V06-CARLSON-GRACIE-TEAM,reported historical affiliation,,,,research material,Reported text: Carlson Gracie Team. Not proof of black belt promotion.,Pessoas,56
