evidence_id,claim_id,url,source_type,capture_date,author,curator_notes,visibility,original_sheet,original_row
EV-R0374,R0374,https://tfiexperience.com/la-quinta/free-trial,historical claim source,2026-07-05,The Flow Institute — Christopher Hargett,Página institucional do The Flow Institute descreve Christopher Hargett como faixa-preta sob Xande Ribeiro.,internal_unapproved,Relações v0.6,2
EV-R0363,R0363,https://atosjiujitsuhq.com/2018/06/06/kaynan-duarte-wins-double-gold-worlds-2018/,historical claim source,2026-07-05,Atos HQ — Kaynan Duarte recebe faixa-preta,Atos HQ registra que Kaynan Duarte recebeu a faixa-preta no pódio por André Galvão em 2018.,internal_unapproved,Relações v0.6,3
EV-R0364,R0364,https://atosjiujitsuhq.com/2018/04/20/instructor-spotlight-nisar-loynab/,historical claim source,2026-07-05,Atos HQ — Nisar Loynab recebe faixa-preta,Atos HQ registra que Nisar Loynab recebeu a faixa-preta do Professor André Galvão.,internal_unapproved,Relações v0.6,4
EV-R0361,R0361,https://atosjiujitsuhq.com/2025/06/02/my-daughter-the-black-belt-%E2%9D%A4%EF%B8%8F/,historical claim source,2026-07-05,Atos HQ — Sarah Galvão promovida à faixa-preta,André Galvão relata que ele e Angélica Galvão promoveram Sarah Galvão à faixa-preta em 2025.,internal_unapproved,Relações v0.6,5
EV-R0362,R0362,https://atosjiujitsuhq.com/2025/06/02/my-daughter-the-black-belt-%E2%9D%A4%EF%B8%8F/,historical claim source,2026-07-05,Atos HQ — Sarah Galvão promovida à faixa-preta,André Galvão relata que ele e Angélica Galvão promoveram Sarah Galvão à faixa-preta em 2025.,internal_unapproved,Relações v0.6,6
EV-R0373,R0373,https://graciebarra.com/georgia-ga/classes/gracie-barra-kids/,historical claim source,2026-07-05,Gracie Barra Georgia — Marcia Carvalho,Página oficial da Gracie Barra descreve Marcia Carvalho como faixa-preta sob Carlos Gracie Jr.,internal_unapproved,Relações v0.6,7
EV-R0358,R0358,https://www.10thplanetjj.com/locations/salt-lake-city/,historical claim source,2026-07-05,10th Planet Salt Lake City — Amir Allam,Página oficial da 10th Planet informa que Amir Allam recebeu a faixa-preta de Eddie Bravo em 2014.,internal_unapproved,Relações v0.6,8
EV-R0351,R0351,https://www.10thplanetjj.com/forum/threads/18998-10th-Planet-Invade-Google-%28Interview-I-did-with-Denny-Prokopos%29,historical claim source,2026-07-05,10th Planet — entrevista sobre Denny Prokopos,10th Planet registra Denny Prokopos como o primeiro integrante do sistema a receber faixa-preta de Eddie Bravo.,internal_unapproved,Relações v0.6,9
EV-R0354,R0354,https://www.10thplanetjj.com/locations/amsterdam/,historical claim source,2026-07-05,10th Planet Amsterdam — Jeremy Fields,Página oficial da 10th Planet descreve Jeremy Fields como faixa-preta de Eddie Bravo.,internal_unapproved,Relações v0.6,10
EV-R0352,R0352,https://www.10thplanetjj.com/locations/austin-north/,historical claim source,2026-07-05,10th Planet Austin North — Kyle Boehm,Página oficial da 10th Planet descreve Kyle Boehm como faixa-preta sob Eddie Bravo e John Botello.,internal_unapproved,Relações v0.6,11
EV-R0355,R0355,https://www.10thplanetjj.com/locations/barcelona/,historical claim source,2026-07-05,10th Planet Barcelona — Manu Perez,Página oficial da 10th Planet descreve Manu Perez como faixa-preta sob Eddie Bravo e Mick Broster.,internal_unapproved,Relações v0.6,12
EV-R0359,R0359,https://www.10thplanetjj.com/locations/greenville-sc/,historical claim source,2026-07-05,10th Planet Greenville — Manny Vazquez e Omar Ocasio,Página oficial da 10th Planet identifica Omar Ocasio como faixa-preta de Eddie Bravo.,internal_unapproved,Relações v0.6,13
EV-R0357,R0357,https://www.10thplanetjj.com/locations/el-paso/,historical claim source,2026-07-05,10th Planet El Paso — Victor Davila,Página oficial da 10th Planet descreve Victor Davila como faixa-preta sob Eddie Bravo.,internal_unapproved,Relações v0.6,14
EV-R0353,R0353,https://www.10thplanetjj.com/locations/austin-north/,historical claim source,2026-07-05,10th Planet Austin North — Kyle Boehm,Página oficial da 10th Planet descreve Kyle Boehm como faixa-preta sob Eddie Bravo e John Botello.,internal_unapproved,Relações v0.6,15
EV-R0368,R0368,https://renzogracieacademy.com/specialty/bjj/,historical claim source,2026-07-05,Renzo Gracie Academy — equipe de BJJ,Renzo Gracie Academy descreve Mike Jaramillo como faixa-preta sob Renzo Gracie e John Danaher.,internal_unapproved,Relações v0.6,16
EV-R0375,R0375,https://www.instagram.com/p/Bt3dhnInR80/,historical claim source,2026-07-05,Thamires Aquino — fonte comunitária indexada,Post público indexado descreve Thamires Aquino como faixa-preta de Júlio César Pereira na GFTeam Méier.,internal_unapproved,Relações v0.6,17
EV-R0356,R0356,https://www.10thplanetjj.com/locations/barcelona/,historical claim source,2026-07-05,10th Planet Barcelona — Manu Perez,Página oficial da 10th Planet descreve Manu Perez como faixa-preta sob Eddie Bravo e Mick Broster.,internal_unapproved,Relações v0.6,18
EV-R0360,R0360,https://www.10thplanetjj.com/locations/greenville-sc/,historical claim source,2026-07-05,10th Planet Greenville — Manny Vazquez e Omar Ocasio,"Página oficial da 10th Planet informa que Manny Vazquez recebeu as faixas roxa, marrom e preta de Omar Ocasio.",internal_unapproved,Relações v0.6,19
EV-R0366,R0366,https://renzogracieacademy.com/specialty/bjj/,historical claim source,2026-07-05,Renzo Gracie Academy — equipe de BJJ,Renzo Gracie Academy informa que Bridget Grace recebeu a faixa-preta do Mestre Renzo Gracie em 2020.,internal_unapproved,Relações v0.6,20
EV-R0365,R0365,https://renzogracieacademy.com/specialty/bjj/,historical claim source,2026-07-05,Renzo Gracie Academy — equipe de BJJ,Renzo Gracie Academy descreve Fábio Coelho como faixa-preta sob Renzo Gracie.,internal_unapproved,Relações v0.6,21
