organization_id,name,organization_type,status,notes,original_sheet,original_row
O-V06-ALLIANCE,Alliance,team,Conectada a pessoa-raiz,pessoas=152; faixas_pretas=138; mapas_raiz=3,Cobertura Equipes,2
O-V06-GRACIE-BARRA,Gracie Barra,team,Conectada a pessoa-raiz,pessoas=18; faixas_pretas=12; mapas_raiz=1,Cobertura Equipes,3
O-V06-GFTEAM,GFTeam,team,Conectada a pessoa-raiz,pessoas=17; faixas_pretas=14; mapas_raiz=1,Cobertura Equipes,4
O-V06-GRACIE-HUMAITA,Gracie Humaitá,team,Raiz em pesquisa,pessoas=17; faixas_pretas=5; mapas_raiz=0,Cobertura Equipes,5
O-V06-RENZO-GRACIE-ACADEMY,Renzo Gracie Academy,team,Conectada a pessoa-raiz,pessoas=17; faixas_pretas=13; mapas_raiz=1,Cobertura Equipes,6
O-V06-10TH-PLANET-JIU-JITSU,10th Planet Jiu-Jitsu,team,Conectada a pessoa-raiz,pessoas=16; faixas_pretas=15; mapas_raiz=1,Cobertura Equipes,7
O-V06-CHECKMAT,Checkmat,team,Conectada a pessoa-raiz,pessoas=15; faixas_pretas=9; mapas_raiz=2,Cobertura Equipes,8
O-V06-ATOS-JIU-JITSU,Atos Jiu-Jitsu,team,Conectada a pessoa-raiz,pessoas=13; faixas_pretas=14; mapas_raiz=1,Cobertura Equipes,9
O-V06-PROJETO-SOCIAL-LUTANDO-PELO-BEM,Projeto Social Lutando Pelo Bem,team,Conectada a pessoa-raiz,pessoas=10; faixas_pretas=8; mapas_raiz=1,Cobertura Equipes,10
O-V06-GRACIE,Gracie,team,Raiz em pesquisa,pessoas=9; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,11
O-V06-ATOS,Atos,team,Raiz em pesquisa,pessoas=7; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,12
O-V06-MARCELO-GARCIA-JIU-JITSU-ALLIANCE,Marcelo Garcia Jiu-Jitsu / Alliance,team,Raiz em pesquisa,pessoas=7; faixas_pretas=6; mapas_raiz=0,Cobertura Equipes,13
O-V06-ART-OF-JIU-JITSU,Art of Jiu-Jitsu,team,Raiz em pesquisa,pessoas=5; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,14
O-V06-BRAZILIAN-TOP-TEAM,Brazilian Top Team,team,Conectada a pessoa-raiz,pessoas=5; faixas_pretas=5; mapas_raiz=1,Cobertura Equipes,15
O-V06-CAIO-TERRA-ASSOCIATION,Caio Terra Association,team,Conectada a pessoa-raiz,pessoas=5; faixas_pretas=5; mapas_raiz=1,Cobertura Equipes,16
O-V06-NS-BROTHERHOOD,NS Brotherhood,team,Raiz em pesquisa,pessoas=5; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,17
O-V06-NOVA-UNIAO,Nova União,team,Conectada a pessoa-raiz,pessoas=5; faixas_pretas=3; mapas_raiz=1,Cobertura Equipes,18
O-V06-RIBEIRO-JIU-JITSU,Ribeiro Jiu-Jitsu,team,Conectada a pessoa-raiz,pessoas=5; faixas_pretas=3; mapas_raiz=2,Cobertura Equipes,19
O-V06-AMERICAN-TOP-TEAM,American Top Team,team,Raiz em pesquisa,pessoas=4; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,20
O-V06-FP-TEAM,FP Team,team,Raiz em pesquisa,pessoas=4; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,21
O-V06-MARCELO-GARCIA-JIU-JITSU,Marcelo Garcia Jiu-Jitsu,team,Raiz em pesquisa,pessoas=4; faixas_pretas=2; mapas_raiz=0,Cobertura Equipes,22
O-V06-ROGER-GRACIE-ACADEMY,Roger Gracie Academy,team,Raiz em pesquisa,pessoas=4; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,23
O-V06-BTT,BTT,team,Raiz em pesquisa,pessoas=3; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,24
O-V06-CARLSON-GRACIE-TEAM,Carlson Gracie Team,team,Raiz em pesquisa,pessoas=3; faixas_pretas=2; mapas_raiz=0,Cobertura Equipes,25
O-V06-MELQUI-GALVAO-JIU-JITSU,Melqui Galvão Jiu-Jitsu,team,Raiz em pesquisa,pessoas=3; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,26
O-V06-ALLIANCE-CHECKMAT,Alliance / Checkmat,team,Raiz em pesquisa,pessoas=2; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,27
O-V06-ALLIANCE-COBRINHA-BJJ,Alliance / Cobrinha BJJ,team,Raiz em pesquisa,pessoas=2; faixas_pretas=1; mapas_raiz=0,Cobertura Equipes,28
O-V06-AUSTRALIAN-JIU-JITSU,Australian Jiu-Jitsu,team,Raiz em pesquisa,pessoas=2; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,29
O-V06-GRACIE-BARRA-ESTIMA,Gracie Barra / Estima,team,Raiz em pesquisa,pessoas=2; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,30
O-V06-MACHADO-JIU-JITSU,Machado Jiu-Jitsu,team,Raiz em pesquisa,pessoas=2; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,31
O-V06-MELQUI-GALVAO,Melqui Galvão,team,Raiz em pesquisa,pessoas=2; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,32
O-V06-PSLPB-UNITY,PSLPB / Unity,team,Raiz em pesquisa,pessoas=2; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,33
O-V06-SIX-BLADES,Six Blades,team,Raiz em pesquisa,pessoas=2; faixas_pretas=1; mapas_raiz=0,Cobertura Equipes,34
O-V06-10TH-PLANET-GRANTS-PASS,10th Planet Grants Pass,team,Raiz em pesquisa,pessoas=1; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,35
O-V06-10TH-PLANET-HUNTSVILLE,10th Planet Huntsville,team,Raiz em pesquisa,pessoas=1; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,36
O-V06-10TH-PLANET-LONG-BEACH,10th Planet Long Beach,team,Raiz em pesquisa,pessoas=1; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,37
O-V06-10TH-PLANET-NEWARK,10th Planet Newark,team,Raiz em pesquisa,pessoas=1; faixas_pretas=0; mapas_raiz=0,Cobertura Equipes,38
