person_id,full_name,nickname,country,team,entity_status,lineage_status,created_from,created_on,notes,original_sheet,original_row
P0120,Adam Childs,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,2
P0406,Admilson “Juquinha” Brites,,,Gracie Humaitá,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,3
P0127,Adolpho Mello,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,4
P0401,Ailson “Jucão” Brites,,,Gracie Barra,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,5
P0383,Alan “Gumby” Marques,,,,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,6
P0317,Alehander Mariano,,,Atos Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,7
P0021,Alex Monsalve,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,8
P0362,Alex “Negão” Paz,,,Brazilian Top Team,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,9
P0213,Alexandre 'Xande' Ribeiro,Xande,,Ribeiro Jiu-Jitsu,Perfil com relação apoiada,Mestre / atleta,Historical Lineage Research v0.6,2026-07-05,,Pessoas,10
P0076,Alexandre Maron,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,11
P0010,Alexandre Paiva,Gigi,Brasil,Alliance,Validado,Mestre,Historical Lineage Research v0.6,2026-07-05,Página oficial da Alliance registra a faixa-preta recebida de Jacaré em 1991.,Pessoas,12
P0358,Alexandre Vieira,,,Brazilian Top Team,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,13
P0396,Alexandre “Café” Dantas,,,Gracie Barra,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,14
P0109,Ali Monfaradi,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,15
P0353,Amal Easton,,,Renzo Gracie Academy,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,16
P0422,Amir Allam,,Estados Unidos,10th Planet Jiu-Jitsu,Ativo ou histórico — em curadoria,Faixa-preta / professor,Historical Lineage Research v0.6,2026-07-05,Incluído na expansão global v0.6; relação de graduação vinculada à fonte cadastrada.,Pessoas,17
P0331,Ana Carolina “Baby” Vieira,,,GFTeam,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,18
P0022,Andre Gailey,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,19
P0069,Andresa Correa,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,20
P0283,Andressa Correa,,,Alliance,Perfil a pesquisar,Atleta / professora,Historical Lineage Research v0.6,2026-07-05,,Pessoas,21
P0298,Andrew Alexander,,Estados Unidos,10th Planet Grants Pass,Perfil com relação apoiada,Mestre / treinador,Historical Lineage Research v0.6,2026-07-05,A página oficial da 10th Planet identifica-o como faixa-preta sob Eddie Bravo.,Pessoas,22
P0261,Andris Brunovskis,,,Atos,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,23
P0158,André Galvão,Deco,,Atos,Perfil com relação apoiada,Mestre / atleta,Historical Lineage Research v0.6,2026-07-05,,Pessoas,24
P0409,André Motta,,,Nova União,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,25
P0269,André Pederneiras,,,Nova União,Perfil com relação apoiada,Mestre / fundador,Historical Lineage Research v0.6,2026-07-05,Faixa-preta de Carlson Gracie corroborada por GracieMag e BJJ Heroes; fundador da Nova União.,Pessoas,26
P0142,André Schiliró,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,27
P0411,André “Marola”,,,Nova União,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,28
P0322,Angélica Galvão,,,,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,29
P0138,Antonio Henrique Azevedo,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,30
P0038,Antonio Peinado,Batista,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,31
P0203,Antônio Carlos 'Bode',Bode,,Fightzone / Checkmat,Perfil com relação apoiada,Professor / treinador,Historical Lineage Research v0.6,2026-07-05,,Pessoas,32
P0259,Ary Farias,,,Atos,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,33
P0302,B.J. Penn,,Estados Unidos,Nova União / BJ Penn Jiu-Jitsu,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,Relação de faixa-preta com André Pederneiras corroborada por fontes especializadas; buscar declaração direta do próprio atleta como reforço.,Pessoas,34
P0376,Beneil Dariush,,,Gracie Barra,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,35
P0224,Bernardo Faria,,,BTT / Alliance,Perfil com relação apoiada,Mestre / atleta,Historical Lineage Research v0.6,2026-07-05,,Pessoas,36
P0413,Bernardo Pitel,,,Nova União,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,37
P0037,Beto Garcia,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,38
P0189,Bia Mesquita,,,Gracie Humaitá,Perfil com relação apoiada,Atleta / professora,Historical Lineage Research v0.6,2026-07-05,,Pessoas,39
P0294,Brandon McCaghren,,Estados Unidos,10th Planet Huntsville,Perfil com relação apoiada,Mestre / treinador,Historical Lineage Research v0.6,2026-07-05,A página oficial da 10th Planet identifica-o como faixa-preta sob Eddie Bravo.,Pessoas,40
P0267,Braulio Estima,,,Gracie Barra / Estima,Perfil a pesquisar,Mestre / atleta,Historical Lineage Research v0.6,2026-07-05,,Pessoas,41
P0145,Brenda Larissa,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,42
P0426,Bridget Grace,,Estados Unidos,Renzo Gracie Academy,Ativo ou histórico — em curadoria,Faixa-preta / professor,Historical Lineage Research v0.6,2026-07-05,Incluído na expansão global v0.6; relação de graduação vinculada à fonte cadastrada.,Pessoas,43
P0371,Bruno Bastos,,,,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,44
P0290,Bruno Frazatto,,,Atos,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,45
P0132,Bruno Leite,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,46
P0249,Bruno Malfacine,,,Alliance,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,47
P0400,Budo Jake,,,Gracie Barra,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,48
P0169,Caio Caetano,,,NS Brotherhood,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,49
P0135,Caio Paganini,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,50
P0101,Caio Rigante,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,51
P0202,Caio Terra,,,Caio Terra Academy,Perfil com relação apoiada,Mestre / atleta,Historical Lineage Research v0.6,2026-07-05,,Pessoas,52
P0182,Caio Vinicius,,,FP Team,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,53
P0003,Carlos Gracie,,Brasil,Gracie,Contexto histórico,Tronco histórico,Historical Lineage Research v0.6,2026-07-05,Não reduzir a história a uma única narrativa nem afirmar promoção formal sem prova específica.,Pessoas,54
P0216,Carlos Gracie Jr.,Carlinhos,,Gracie Barra / IBJJF,Perfil com relação apoiada,Mestre / fundador,Historical Lineage Research v0.6,2026-07-05,,Pessoas,55
P0415,Carlos Rollyson,,,Carlson Gracie Team,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,56
P0081,Carlos Santos,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,57
P0234,Carlson Gracie,,,Carlson Gracie Team,Perfil a pesquisar,Tronco histórico,Historical Lineage Research v0.6,2026-07-05,,Pessoas,58
P0326,Carol Brunacio,,,GFTeam,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,59
P0019,Cassio Cardosi,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,60
P0026,Cezar Takeyoshi,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,61
P0299,Chai Sirisute,,Estados Unidos,10th Planet Long Beach,Perfil com relação apoiada,Mestre / treinador,Historical Lineage Research v0.6,2026-07-05,Fonte institucional aponta faixa-preta de segundo grau sob Eddie Bravo e Rigan Machado; manter co-vínculo.,Pessoas,62
P0292,Charles Negromonte,,,Roger Gracie Academy / former GB,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,63
P0341,Chico Mendes,,,Checkmat,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,64
P0433,Christopher Hargett,,Estados Unidos,Six Blades,Ativo ou histórico — em curadoria,Faixa-preta / professor,Historical Lineage Research v0.6,2026-07-05,Incluído na expansão global v0.6; relação de graduação vinculada à fonte cadastrada.,Pessoas,65
P0311,Conor Heun,,,10th Planet Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,66
P0195,Craig Jones,,,B-Team / former Absolute MMA,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,67
