source_id,source_name,entity,source_type,url,what_it_proves,access_mode,priority,status,captured_on,notes,original_sheet,original_row
S001,Lista de Faixas Pretas formados por Fabio Gurgel,Fábio Gurgel,Declaração do professor,https://fabiogurgel.com.br/lista-de-faixas-pretas-formados-por-fabio-gurgel/,Confirma 139 relações diretas Fábio → faixa-preta,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,2
S002,Demian Maia comemora graduação de quinto grau,UOL / Ag. Fight,Declaração reproduzida pela imprensa,https://www.uol.com.br/esporte/ultimas-noticias/ag-fight/2021/04/16/demian-maia-comemora-graduacao-de-quinto-grau-em-sua-faixa-preta-de-jiu-jitsu.htm,Confirma Fábio → Demian,historical workbook,,catalogada,2026-07-05,evidence_tier=A/B; reliability=Muito alta,Fontes,3
S003,Faixa Preta de verdade,Fábio Gurgel,Relato autobiográfico,https://fabiogurgel.com.br/faixa-preta-de-verdade/,Confirma Romero → Fábio,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,4
S004,A história da Alliance em 30 capítulos,Fábio Gurgel,Relato histórico em primeira pessoa,https://fabiogurgel.com.br/a-historia-da-alliance-em-30-capitulos/,Confirma Rolls → Romero; contexto Fábio → alunos iniciais,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,5
S005,Quem somos,Alliance Jiu Jitsu,Biografia institucional,https://www.allianceofficial.com/quem-somos/,Confirma múltiplas relações Alliance,historical workbook,,catalogada,2026-07-05,evidence_tier=A/B; reliability=Alta,Fontes,6
S006,"The Genesis of Brazilian Jiu-Jitsu, 1905–1920",Pesquisa acadêmica / Redalyc,Artigo acadêmico,https://www.redalyc.org/journal/3381/338130377006/html/,Contextualiza Maeda–Gracie,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Alta para contexto histórico,Fontes,7
S007,Projeto de reconhecimento da Escola Fadda de Bento Ribeiro,ALERJ,Documento legislativo / patrimônio,https://www3.alerj.rj.gov.br/lotus_notes/default.asp?id=3&url=L3NjcHJvMjMyNy5uc2YvMGM1YmY1Y2RlOTU2MDFmOTAzMjU2Y2FhMDAyMzEzMWIvZWU4YWQ0MTM2ZTUyMmZkZTAzMjU4YTFhMDA1NDFjOGI%2FT3BlbkRvY3VtZW50,Contextualiza Fadda,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média/alta,Fontes,8
S008,Luiz França — pesquisa de linhagem,Simon BJJ,Pesquisa independente,https://simonbjj.com/luiz-franca,Mapeia divergência Maeda → França,historical workbook,,catalogada,2026-07-05,evidence_tier=D; reliability=Média como crítica,Fontes,9
S009,Certified Black Belts / Hall of Fame,IBJJF,Registro federativo,https://ibjjf.com/certified-black-belts,Valida certificação e grau atuais quando aplicável,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Alta para registro; limitada para genealogia,Fontes,10
S010,"Marcelo Garcia promove Diniz, Khera e Danis a faixa-preta",GracieMag,Imprensa especializada,https://www.graciemag.com/marcelo-garcia-promotes-diniz-khera-danis-to-black-belt/,"Confirma Marcelo → Diniz, Khera e Danis",historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,11
