observation_id,person_id,source_id,source_url,entity,observation_type,belt_reported,division,discipline,gender,ranking_position_display,points,organization_name_as_reported,source_last_update,captured_on,verification_label,lineage_status,notes,original_sheet,original_row
OBS-V06-ROOT-0001,P0293,,https://www.10thplanetjj.com/locations/downtownla/,10th Planet Jiu-Jitsu,team root mapping observation,,,,,,,10th Planet Jiu-Jitsu,,2026-07-05,Perfil oficial de Eddie Bravo — 10th Planet HQ,not a lineage edge,Fundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,2
OBS-V06-ROOT-0002,P0010,,https://www.allianceofficial.com/en/about-alliance/,Alliance,team root mapping observation,,,,,,,Alliance,,2026-07-05,Alliance — sobre a equipe,not a lineage edge,Cofundador técnico. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,3
OBS-V06-ROOT-0003,P0007,,https://www.allianceofficial.com/en/about-alliance/,Alliance,team root mapping observation,,,,,,,Alliance,,2026-07-05,Alliance — sobre a equipe,not a lineage edge,Mestre / cofundador técnico. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,4
OBS-V06-ROOT-0004,P0006,,https://www.allianceofficial.com/en/about-alliance/,Alliance,team root mapping observation,,,,,,,Alliance,,2026-07-05,Alliance — sobre a equipe,not a lineage edge,Mestre / cofundador técnico. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,5
OBS-V06-ROOT-0005,P0158,,https://atosjiujitsuhq.com/2017/03/31/learning-from-the-best/,Atos Jiu-Jitsu,team root mapping observation,,,,,,,Atos Jiu-Jitsu,,2026-07-05,Atos HQ — perfil de André Galvão,not a lineage edge,Cofundador / líder técnico. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,6
OBS-V06-ROOT-0006,P0271,,https://www.bjjheroes.com/bjj-fighters/pedro-duarte,Brazilian Top Team,team root mapping observation,,,,,,,Brazilian Top Team,,2026-07-05,Pedro Duarte — BJJ Heroes,not a lineage edge,Cofundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,7
OBS-V06-ROOT-0007,P0202,,https://www.bjjheroes.com/bjj-fighters/rudson-mateus,Caio Terra Association,team root mapping observation,,,,,,,Caio Terra Association,,2026-07-05,Rudson Mateus — BJJ Heroes,not a lineage edge,Fundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,8
OBS-V06-ROOT-0008,P0205,,https://www.bjjheroes.com/bjj-fighters/leo-vieira-facts-and-bio,Checkmat,team root mapping observation,,,,,,,Checkmat,,2026-07-05,Leonardo Vieira — BJJ Heroes,not a lineage edge,Cofundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,9
OBS-V06-ROOT-0009,P0204,,https://www.bjjheroes.com/bjj-fighters/ricardo-ricardinho-vieira,Checkmat,team root mapping observation,,,,,,,Checkmat,,2026-07-05,Ricardo Vieira — BJJ Heroes,not a lineage edge,Cofundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,10
OBS-V06-ROOT-0010,P0183,,https://www.bjjheroes.com/tag/gf-team,GFTeam,team root mapping observation,,,,,,,GFTeam,,2026-07-05,"GF Team — elenco de atletas, BJJ Heroes",not a lineage edge,Fundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,11
OBS-V06-ROOT-0011,P0216,,https://graciebarra.com/,Gracie Barra,team root mapping observation,,,,,,,Gracie Barra,,2026-07-05,Gracie Barra — site oficial,not a lineage edge,Fundador. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,12
OBS-V06-ROOT-0012,P0269,,https://www.bjjheroes.com/tag/2000s-bjj,Nova União,team root mapping observation,,,,,,,Nova União,,2026-07-05,André Motta — BJJ Heroes,not a lineage edge,Fundador / líder do Jiu-Jitsu. Mapa de equipe para exibição como camada organizacional; a árvore continua sendo composta por pessoas.,Raízes de Equipe,13
