observation_id,person_id,source_id,source_url,entity,observation_type,belt_reported,division,discipline,gender,ranking_position_display,points,organization_name_as_reported,source_last_update,captured_on,verification_label,lineage_status,notes
OBS-12030F2249A4,P-B93A743901,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,1,1100.0,Soldiers Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-B05C22685311,P-17BDF93936,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,2,666.0,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-A8BBE847A959,P-B81C66D956,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,3,654.0,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-B4A7A8629737,P-38CD5C6ADB,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,4,651.5,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-360F6FBA9387,P-D617EB4611,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,5,558.5,Soldiers Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-9F5BEE711B3C,P-081E954739,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,6,494.0,GF Team France,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-945304932F24,P-45B6504F3A,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,7,477.0,Lotus Club,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-564E88DB69B6,P-AB8F548777,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,8,473.0,ZR Team Pernambuco,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-2DC25559683F,P-6E4FFCE11C,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,9,444.0,Alliance Los Angeles,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-D52926C9D0E6,P-8479E4C232,SRC-IBJJF-ADULT-BLACK-GI-M-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,masculino,10,415.0,Elementum Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
