student_id,student_name,teacher_id,teacher_name,confidence,source,evidence
36,Carlos Gracie Senior,v_mitsuyo_maeda,Mitsuyo Maeda,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
44,Helio Gracie,36,Carlos Gracie Senior,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
67,Rickson Gracie,44,Helio Gracie,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
5869,Jorge Pereira,67,Rickson Gracie,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
6403,Leonardo Dalla,5869,Jorge Pereira,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
1307,Lloyd Irvin,6403,Leonardo Dalla,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
8141,Aarae Alexander,1307,Lloyd Irvin,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
27,Rolls Gracie,44,Helio Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
355,Romero Cavalcanti,27,Rolls Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
1204,Roberto Traven,355,Romero Cavalcanti,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
v_philip_smith,Philip Smith,1204,Roberto Traven,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
9246,Aaron Johnson,v_philip_smith,Philip Smith,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
22,Carlson Gracie,36,Carlos Gracie Senior,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
232,Jose Mario Sperry,22,Carlson Gracie,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
v_rafael_haubert,Rafael Haubert,232,Jose Mario Sperry,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
8494,Abdurakhman Bilarov,v_rafael_haubert,Rafael Haubert,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
419,Leonardo Vieira,355,Romero Cavalcanti,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Robert Drysdale > Abmar Barbosa
378,Robert Drysdale,419,Leonardo Vieira,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Robert Drysdale > Abmar Barbosa
390,Abmar Barbosa,378,Robert Drysdale,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Robert Drysdale > Abmar Barbosa
739,Marcelo Behring,67,Rickson Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
7856,Fernando Yamasaki,739,Marcelo Behring,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
v_abraham_tabar,Abraham Tabar,7856,Fernando Yamasaki,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
3083,Abraham Marte Messina,v_abraham_tabar,Abraham Tabar,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
3384,Crolin Gracie,2160,Carley Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
v_jorge_popovitch,Jorge Popovitch,3384,Crolin Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
919,Pablo Popovitch,v_jorge_popovitch,Jorge Popovitch,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
8394,Vagner Rocha,919,Pablo Popovitch,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
