ibjjf_name,ibjjf_profile_url,academy,gender,ranking_category,ruleset,points,same_academy_people_ids,same_academy_people_names,academy_known_people_count,signal_type,confidence,publication_policy,evidence
Tainan Dalpra Costa,https://ibjjf.com/athletes/tainan-costa,AOJ,male,adult,gi,666,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Diego Oliveira Batista,https://ibjjf.com/athletes/diego-batista-65fb12dc74cd,AOJ,male,adult,gi,654,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Francisco Papasidero,https://ibjjf.com/athletes/francisco-papasidero,AOJ,male,adult,gi,651.5,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alexandre Papa Manara,https://ibjjf.com/athletes/alexandre-manara,Lotus Club,male,adult,gi,477.0,14205,Alexandre Manara,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Lotus Club""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Cole Anthony Abate,https://ibjjf.com/athletes/cole-abate,AOJ,male,adult,gi,413,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Jansen Gomes Ramos,https://ibjjf.com/athletes/jansen-ramos,CheckMat,male,adult,gi,412.5,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Andy Tomas Murasaki Pereira,https://ibjjf.com/athletes/andy-pereira,AOJ,male,adult,gi,294.0,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Ethan Roy Major,https://ibjjf.com/athletes/ethan-major,Toronto BJJ,male,adult,gi,281.5,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Marcos Antonio Gomes Guedes,https://ibjjf.com/athletes/marcos-guedes,AOJ,male,adult,gi,197,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Mateo Cardona,https://ibjjf.com/athletes/mateo-cardona,AOJ,male,adult,gi,188.0,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
