student_id,student_name,teacher_id,teacher_name,confidence,source,match_quality,evidence,source_url
8141,Aarae Alexander,1307,Lloyd Irvin,high,bio_extraction,exact,"Brazilian jiu jitsu black belt under Lloyd Irvin, having also worked extensively with coach Donnie Achnickat",https://www.bjjheroes.com/?p=8141
14157,Achilles Rocha,8394,Vagner Rocha,high,bio_extraction,exact,ent and a jiu-jitsu black belt under ADCC medalist Vagner Rocha(his father). He represents Vagner Rocha Martial Arts in the,https://www.bjjheroes.com/?p=14157
8814,Adam Benayoun,725,Ryan Hall,high,bio_extraction,exact,Brazilian jiu-jitsublack belt under Ryan Halland a representative of the Fifty/50 Martial Arts Academy in the sport's interna,https://www.bjjheroes.com/?p=8814
8131,Adam Ferrara,5747,Arthur Sousa,medium,bio_extraction,initial,"Brazilian jiu jitsublack belt under AJ Sousa, being also one of the top representatives of the GF Teamac",https://www.bjjheroes.com/?p=8131
6339,Admilson Brites,515,Royler Gracie,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Royler Gracie, being one of Gracie Humaitá Academy's most accomplished at",https://www.bjjheroes.com/?p=6339
9541,Aniel Bonifacio,8696,Rodrigo Carvalho,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Rodrigo Carvalho, being also one of the main rooster-weight grappling compet",https://www.bjjheroes.com/?p=9541
1116,Adriano Martins,1108,Cristiano Carioca,high,bio_extraction,exact,"Brazilian Jiu Jitsublack belt under Cristiano Carioca, having won several important titles such as the World Cham",https://www.bjjheroes.com/?p=1116
2583,Alan Moraes,5998,Carlson Gracie Junior,high,bio_extraction,exact,"raes is a jiu-jitsu black belt under Carlson Gracie Junior, and a former instructor at the world-famous Carlson Gracie",https://www.bjjheroes.com/?p=2583
696,Alberto Carmona,579,Octavio Couto,medium,bio_extraction,initial,iu jitsu 3rd degree black belt under Otávio Couto and Vinicius Campelo of the Akxe Academy in Rio de Janeiro – Brazil. A s,https://www.bjjheroes.com/?p=696
11746,Alex Munis,7552,Isaque Bahiense,high,bio_extraction,exact,ntos is a jiu-jitsu black belt under Isaque Bahiense and Gabriel Figueiróas well as a representative of the Dream Art /Allia,https://www.bjjheroes.com/?p=11746
13084,Alex Nguyen,13493,Greg Souders,high,bio_extraction,exact,"s Alex Nguyen, is a black belt in jiu-jitsu under Greg Souderswho is widely regarded as one of the top no-gi / submission-grappling com",https://www.bjjheroes.com/?p=13084
13533,Alehander Mariano,144,Andre Galvao,high,bio_extraction,exact,"iano is a jiu-jitsu black belt under André Galvão, who worked extensively with Joelton as a colored belt, and",https://www.bjjheroes.com/?p=13533
9312,Alexandre Cavaliere,553,Roberto Correa,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Roberto Correa(Gordo) and Paulo Perrota (Rabicó), who also worked extensiv",https://www.bjjheroes.com/?p=9312
449,Alexandre de Souza,3384,Crolin Gracie,high,bio_extraction,exact,"Brazilian Jiu-Jitsublack belt under the prestigious Crolin Gracie, and one of Florianopolis's most accomplished athletes. Wel",https://www.bjjheroes.com/?p=449
