id,name,first_name,last_name,nickname,team,url,bio,is_historical
8141,Aarae Alexander,Aarae,Alexander,,Team Lloyd Irvin,https://www.bjjheroes.com/?p=8141,"Aarae Alexander is a Brazilian jiu jitsu black belt underLloyd Irvin, having also worked extensively with coachDonnie Achnickat the Team Lloyd Irvin (TLI) headquarters – a team she represented throughout her competitive career. Alexander is a product of TLI kids program, one of the most successful BJJ champion factories in the sport, from which Aarae conquered important titles in the International Brazilian Jiu Jitsu Federation (IBJJF) calendar. This included IBJJF World and Pan American championships. Full Name:Aarae Alexander",False
9246,Aaron Johnson,Aaron,Johnson,Tex,Unity JJ,https://www.bjjheroes.com/?p=9246,"Aaron Johnson, commonly known as “Tex” Johnson, is aBrazilian jiu-jitsublack belt under Philip Smith andMurilo Santana.Originally known as one of the main representatives of the Unity Jiu-Jitsu Academy of New York City, Tex would later join Fight Sports, where he continued his good form. An International Brazilian jiu-jitsu Federation (IBJJF) 3x Pan American No-Gi Champion, Johnson is known for his aggressive and submission-oriented style with which he submitted some of the sport’s biggest stars, names such asDavi RamosandJackson Sousa. Tex is also a former professional mixed martial arts (MMA) fighter holding the record for fastest submission inside the famous Bellator MMA promotion cage (15 seconds). Full Name:Aaron Michael Johnson",False
8494,Abdurakhman Bilarov,Abdurakhman,Bilarov,,Team Nogueira,https://www.bjjheroes.com/?p=8494,"Abdurakhman Bilarov (Абдурахман Биларов) is a Dagestan born,Brazilian jiu jitsublack belt under Rafael Haubert and a former wrestling standout of Ali Alyev. Regarded as one of the hottest European prospects in BJJ since his brown belt days, a time when Bilarov beat two of the world’s best black belts (Jackson SousaandClaudio Calasans) at the Berkut Challenge and won his 3rd consecutive UAEJJF Abu Dhabi World Pro, Abdurakhman is also referenced as the first high level competitors produced by Russia in this sport. Full Name:Abdurakhman Bilarov",False
390,Abmar Barbosa,Abmar,Barbosa,,,https://www.bjjheroes.com/?p=390,"Abmar Barbosa is aBrazilian Jiu Jitsublack belt underRobert Drysdalewho holds an extensive list of competitive grappling achievements. Abmar Barbosa is commonly known for his crowd pleasing and aggressive guard game with which he shocked the BJJ community at the 2010 Pan American Jiu Jitsu Championship by dominating the heavy favourite to win the competition,Kron Gracie. Full Name:Abmar Barbosa",False
3083,Abraham Marte Messina,Abraham,Marte Messina,,Yamasaki / Basico,https://www.bjjheroes.com/?p=3083,"Abraham Marte is aBrazilian Jiu-Jitsublack belt under Abraham Tabar from team Basico BJJ of the Dominican Republic. One of the top ultra-heavyweight competitors of his generation, Marte was also the first high-end submission grappler to come out of this Caribbean nation, and the first to medal at the World Championships in a black belt division. Full Name:Abraham J. Marte Messina",False
14157,Achilles Rocha,Achilles,Rocha,,VRMA,https://www.bjjheroes.com/?p=14157,"Achilles Rocha is an American grappler of Brazilian descent and a jiu-jitsu black belt under ADCC medalistVagner Rocha(his father). He represents Vagner Rocha Martial Arts in the sport’s international circuit, particularly in the No-Gi ruleset, and has also represented the Fight Sports Team, a squad with long-standing links to VRMA. Achilles Rocha first made waves in the sport while competing in the colored belt divisions, where he conquered important titles with the International Brazilian Jiu-Jitsu Federation (IBJJF). He is also the brother of another accomplished grappler,Jasmine Rocha. Full Name:Achilles Rocha",False
8814,Adam Benayoun,Adam,Benayoun,,Fifty/50 Martial Arts Academy,https://www.bjjheroes.com/?p=8814,"Adam Benayoun is aBrazilian jiu-jitsublack belt underRyan Halland a representative of the Fifty/50 Martial Arts Academy in the sport’s international circuit, having also worked extensively withMarcelo Garcia,Fábio Clemente,Lucas Lepri, and Babs Olusanmokun. Benayoun became known by BJJ mainstream media and fans while competing in the lower belt divisions where he conquered IBJJF Pan American and European titles. Full Name:Adam Benayoun",False
8131,Adam Ferrara,Adam,Ferrara,,GF Team,https://www.bjjheroes.com/?p=8131,"Adam Ferrara is aBrazilian jiu jitsublack belt underAJ Sousa, being also one of the top representatives of theGF Teamacademy in the United States of America. Widely accomplished in Gi and No-Gi competition, Adam and his brother Jake (another highly accomplished grappler) are known for incorporating high level wrestling to their jiu jitsu approach, a style often defined as American jiu jitsu. Full Name:Adam Paul Ferrara",False
1133,Adam Kayoom,Adam,Kayoom,,BKK BJJ,https://www.bjjheroes.com/?p=1133,"Adam Shahir Kayoom is a Brazilian jiu jitsu black belt under American Top Team founderRicardo Liborio. An experience mixed martial arts (MMA) competitor, Kayoom stayed as truthful to martial arts as possible having competed and trained in a variety of combat styles throughout his career, including: muay thai (in which he was world champion), Brazilian jiu iitsu, kalis illustrisimo,”Traditional” ju-jitsu (Yagyu Shingan Ryu), hapkido, aikido, taekwondo (black belt) and karate (black belt). Full name:Adam Shahir Abdul Kayoom",False
7478,Adam Wardzinski,Adam,Wardzinski,Megatron,Checkmat,https://www.bjjheroes.com/?p=7478,"Adam Wardziński is a Polish grappler and black belt inBrazilian jiu-jitsuunderAlan “Finfou” do Nascimento, who represented the Checkmat team throughout his career. Widely regarded as one of the top heavyweight (94,30 kg / 208.0 lbs) competitors of his generation, Wardziński was one of the first grapplers to emerge from Poland to the top of BJJ in the history of the sport and the first Polish grappler to win a world title with the International Brazilian Jiu-Jitsu Federation (IBJJF). Furthermore, Adam Wardziński was the first European competitor to win the IBJJF Grand Slam, which consists of conquering gold medals in the Big-Four tournaments of the league in one single year, namely the European, Brazilian Nationals, Pan-American, and World Championships, a feat earned in 2025. Full Name:Adam Wardziński",False
